sisa_umur_jam,jam_operasi_aktif,jenis_mesin,tekanan_oli_bar,id_log_sensor,suhu_c,vibrasi_mm_s,durasi_perbaikan_jam,shift_operator,kebisingan_lingkungan_db
268.2,6578,Conveyor_Belt,3.77,LOG-00154,45.1,1.62,4,Shift_2,82.0
253.6,9252,Robot_Arm,3.37,LOG-00155,45.9,1.85,5,Shift_1,89.5
231.5,13576,Conveyor_Belt,3.73,LOG-00156,80.0,4.09,2,Shift_3,70.7
284.0,3399,Conveyor_Belt,3.46,LOG-00157,60.7,0.1,6,Shift_1,92.9
196.9,11583,CNC_Milling,3.73,LOG-00158,32.0,6.99,3,Shift_1,82.4
249.0,10595,CNC_Milling,3.29,LOG-00159,54.1,0.1,11,Shift_1,83.6
215.5,15894,CNC_Milling,3.31,LOG-00160,58.4,3.68,8,Shift_2,84.8
212.0,19926,CNC_Milling,3.59,LOG-00161,60.3,3.19,7,Shift_3,86.8
232.6,13621,Robot_Arm,2.98,LOG-00162,76.5,6.06,4,Shift_2,60.6
257.5,8774,CNC_Milling,3.4,LOG-00163,51.1,4.88,5,Shift_1,84.0
212.3,8721,CNC_Milling,2.33,LOG-00164,79.0,6.97,11,Shift_1,78.0
260.8,8941,CNC_Milling,1.59,LOG-00165,69.3,3.1,3,Shift_2,82.4
215.3,16466,Robot_Arm,3.11,LOG-00166,45.7,2.84,11,Shift_3,92.6
267.5,7103,Robot_Arm,2.4,LOG-00167,60.2,5.03,10,Shift_2,80.0
253.0,4172,Conveyor_Belt,4.58,LOG-00168,72.4,6.57,5,Shift_2,77.3
251.3,7351,CNC_Milling,2.4,LOG-00169,65.6,6.06,3,Shift_3,88.1
300.6,1431,CNC_Milling,3.65,LOG-00170,70.7,4.8,9,Shift_1,73.2
287.8,3016,Conveyor_Belt,2.47,LOG-00171,56.2,4.58,10,Shift_3,96.9
284.5,2710,Robot_Arm,3.02,LOG-00172,73.3,3.91,3,Shift_1,104.4
231.5,15659,Robot_Arm,2.14,LOG-00173,59.0,5.02,11,Shift_1,71.2
1.0,14724,Robot_Arm,2.07,LOG-00174,103.2,9.09,6,Shift_2,91.2
234.9,14238,CNC_Milling,3.26,LOG-00175,45.2,3.39,9,Shift_1,100.0
243.0,9775,Conveyor_Belt,2.72,LOG-00176,105.5,3.09,6,Shift_2,80.3
225.2,14624,Robot_Arm,3.63,LOG-00177,50.7,2.9,9,Shift_3,79.1
278.2,4064,Robot_Arm,4.03,LOG-00178,84.1,4.97,10,Shift_3,79.0
204.5,18111,Robot_Arm,1.76,LOG-00179,77.4,0.1,4,Shift_3,97.4
243.0,10519,CNC_Milling,3.87,LOG-00180,51.4,3.66,6,Shift_2,98.3
198.6,18822,CNC_Milling,2.23,LOG-00181,74.0,6.2,7,Shift_1,82.4
279.7,3893,Robot_Arm,2.73,LOG-00182,57.6,2.68,3,Shift_3,100.2
246.8,10449,Robot_Arm,1.88,LOG-00183,69.1,4.47,3,Shift_1,73.0
95.5,14230,CNC_Milling,1.9,LOG-00184,67.2,9.27,8,Shift_1,90.1
253.0,10416,CNC_Milling,1.44,LOG-00185,59.8,4.83,10,Shift_1,76.3
246.4,9476,Conveyor_Belt,2.68,LOG-00186,58.5,0.1,8,Shift_2,86.7
279.5,4158,CNC_Milling,3.05,LOG-00187,70.1,0.48,7,Shift_3,81.5
256.6,8239,Robot_Arm,2.7,LOG-00188,51.4,3.37,5,Shift_2,74.5
269.7,5536,Robot_Arm,1.57,LOG-00189,52.0,1.99,10,Shift_3,88.3
255.5,6728,Conveyor_Belt,1.43,LOG-00190,79.3,4.26,9,Shift_3,72.9
229.8,13990,Robot_Arm,3.01,LOG-00191,71.4,3.26,6,Shift_2,92.2
195.3,12975,Conveyor_Belt,3.63,LOG-00192,45.4,6.92,8,Shift_3,92.3
238.7,12536,CNC_Milling,3.2,LOG-00193,50.0,1.27,9,Shift_2,86.1
276.0,7874,Conveyor_Belt,4.49,LOG-00194,33.0,3.48,3,Shift_3,82.0
204.7,19234,Conveyor_Belt,2.97,LOG-00195,78.6,4.54,7,Shift_1,92.3
289.0,2665,Robot_Arm,3.25,LOG-00196,75.3,4.85,4,Shift_2,93.1
258.5,7509,Robot_Arm,2.98,LOG-00197,48.7,4.37,5,Shift_1,80.1
284.7,3242,CNC_Milling,2.37,LOG-00198,74.7,0.1,8,Shift_1,86.8
262.2,7439,Robot_Arm,2.87,LOG-00199,94.8,4.21,10,Shift_3,81.0
199.5,19276,CNC_Milling,3.67,LOG-00200,41.9,3.62,8,Shift_2,89.6
249.3,7959,CNC_Milling,3.7,LOG-00201,55.8,6.16,11,Shift_3,77.6
211.1,18263,Conveyor_Belt,3.29,LOG-00202,41.6,5.81,2,Shift_2,87.1
244.6,10406,CNC_Milling,4.27,LOG-00203,79.2,4.6,4,Shift_2,84.0
223.8,14294,Robot_Arm,3.37,LOG-00204,63.6,4.78,4,Shift_1,93.9
202.9,9690,CNC_Milling,3.26,LOG-00205,59.0,7.38,9,Shift_1,79.6
242.2,6051,CNC_Milling,4.2,LOG-00206,68.4,6.88,2,Shift_1,87.7
217.8,15520,CNC_Milling,2.43,LOG-00207,56.6,4.69,4,Shift_1,80.8
73.8,19414,CNC_Milling,4.14,LOG-00208,59.0,9.36,11,Shift_2,69.7
261.8,6006,Robot_Arm,2.22,LOG-00209,69.1,2.43,5,Shift_1,82.5
216.3,15796,Conveyor_Belt,2.79,LOG-00210,55.8,1.04,6,Shift_2,91.3
264.1,5961,Robot_Arm,1.53,LOG-00211,58.0,3.97,11,Shift_3,91.6
224.4,14620,Conveyor_Belt,3.2,LOG-00212,62.7,3.07,7,Shift_3,78.8
220.0,15991,Robot_Arm,4.06,LOG-00213,66.4,0.1,4,Shift_2,94.8
246.0,9537,Robot_Arm,2.25,LOG-00214,74.0,2.37,3,Shift_1,97.7
222.8,15001,CNC_Milling,2.77,LOG-00215,73.7,4.86,5,Shift_2,75.7
264.4,6172,CNC_Milling,2.82,LOG-00216,42.5,3.85,6,Shift_1,86.3
288.6,2505,Conveyor_Belt,2.83,LOG-00217,86.1,2.06,8,Shift_3,95.6
286.4,2831,Robot_Arm,2.16,LOG-00218,65.9,4.11,11,Shift_3,98.0
259.5,9493,Robot_Arm,3.03,LOG-00219,60.0,4.31,6,Shift_1,87.1
200.5,18149,Conveyor_Belt,4.26,LOG-00220,51.4,5.79,10,Shift_3,96.1
288.5,3423,CNC_Milling,2.6,LOG-00221,94.8,2.4,2,Shift_3,98.0
250.2,9659,Robot_Arm,3.18,LOG-00222,100.4,6.18,6,Shift_3,90.7
225.4,14376,CNC_Milling,3.18,LOG-00223,93.0,1.27,5,Shift_3,82.3
273.9,4844,Conveyor_Belt,2.68,LOG-00224,66.8,2.74,10,Shift_3,88.7
138.1,14710,CNC_Milling,3.22,LOG-00225,70.2,8.25,11,Shift_3,78.3
271.0,6813,CNC_Milling,2.7,LOG-00226,87.4,1.44,6,Shift_2,78.8
207.9,16364,Robot_Arm,3.33,LOG-00227,61.4,2.35,11,Shift_3,69.6
237.6,12005,CNC_Milling,2.94,LOG-00228,73.1,0.87,8,Shift_2,93.8
245.2,11391,Conveyor_Belt,1.88,LOG-00229,68.4,1.93,6,Shift_2,95.6
78.5,4358,Robot_Arm,1.56,LOG-00230,93.8,4.35,5,Shift_1,66.1
51.1,9800,CNC_Milling,1.29,LOG-00231,86.5,5.77,2,Shift_2,80.3
205.5,17275,CNC_Milling,2.67,LOG-00232,62.9,3.95,8,Shift_3,78.9
290.6,1370,Conveyor_Belt,3.66,LOG-00233,87.9,3.19,5,Shift_3,90.1
221.0,15411,Robot_Arm,2.42,LOG-00234,64.9,0.89,9,Shift_3,84.9
243.7,10362,Conveyor_Belt,2.8,LOG-00235,56.8,2.18,5,Shift_2,91.5
232.2,14669,CNC_Milling,2.48,LOG-00236,60.7,0.13,3,Shift_3,85.3
230.1,13602,Conveyor_Belt,2.33,LOG-00237,67.2,5.84,11,Shift_2,87.7
248.9,9209,Robot_Arm,4.76,LOG-00238,53.2,6.02,10,Shift_3,85.4
275.5,6864,Robot_Arm,2.36,LOG-00239,57.2,3.9,5,Shift_3,96.7
237.6,12918,CNC_Milling,1.92,LOG-00240,43.3,5.1,4,Shift_3,75.1
274.9,3664,CNC_Milling,2.28,LOG-00241,52.7,6.19,7,Shift_2,77.5
238.9,12097,Conveyor_Belt,3.06,LOG-00242,68.5,4.25,9,Shift_1,76.3
223.4,2799,Conveyor_Belt,2.54,LOG-00243,80.6,7.48,6,Shift_1,89.4
229.1,13347,CNC_Milling,3.23,LOG-00244,78.7,1.44,11,Shift_3,68.7
229.4,12946,Conveyor_Belt,2.42,LOG-00245,71.4,3.13,7,Shift_3,65.7
285.3,2604,CNC_Milling,2.53,LOG-00246,42.1,2.83,4,Shift_3,91.8
215.5,15392,CNC_Milling,2.43,LOG-00247,52.1,5.62,9,Shift_3,71.2
260.0,8900,CNC_Milling,2.93,LOG-00248,62.0,0.41,11,Shift_3,76.0
152.1,15950,CNC_Milling,3.57,LOG-00249,79.4,7.62,8,Shift_2,71.4
295.3,1790,CNC_Milling,3.66,LOG-00250,56.6,5.4,9,Shift_3,77.8
178.6,4409,CNC_Milling,4.13,LOG-00251,46.7,8.38,11,Shift_3,114.3
50.0,10385,CNC_Milling,1.95,LOG-00252,86.7,3.9,9,Shift_2,81.6
270.1,4576,Robot_Arm,2.17,LOG-00253,54.0,2.62,10,Shift_3,84.8
260.5,7267,Conveyor_Belt,2.27,LOG-00254,48.1,5.64,3,Shift_2,74.8
206.4,13551,Robot_Arm,3.0,LOG-00255,68.4,6.58,3,Shift_1,83.8
282.5,3745,CNC_Milling,2.14,LOG-00256,64.2,2.21,6,Shift_1,94.7
224.3,13876,Robot_Arm,2.45,LOG-00257,57.5,0.1,9,Shift_2,86.0
292.4,2964,CNC_Milling,3.55,LOG-00258,65.0,0.1,6,Shift_1,105.0
278.2,4328,Robot_Arm,3.86,LOG-00259,51.1,4.65,10,Shift_1,77.3
164.8,12165,Robot_Arm,3.55,LOG-00260,57.3,7.85,10,Shift_3,63.5
212.3,16076,CNC_Milling,3.26,LOG-00261,64.5,0.75,5,Shift_2,89.0
280.3,4241,CNC_Milling,2.47,LOG-00262,34.5,3.32,6,Shift_3,89.2
272.0,6699,Conveyor_Belt,3.02,LOG-00263,79.3,3.13,9,Shift_2,85.7
90.4,18577,Conveyor_Belt,3.91,LOG-00264,44.4,8.8,5,Shift_1,71.3
52.0,19803,Robot_Arm,3.53,LOG-00265,50.9,9.65,2,Shift_1,79.5
238.5,12040,Conveyor_Belt,3.71,LOG-00266,80.0,5.06,6,Shift_1,87.0
240.9,9493,Conveyor_Belt,3.76,LOG-00267,73.5,6.25,9,Shift_3,87.5
250.1,7590,CNC_Milling,2.74,LOG-00268,66.3,6.18,11,Shift_1,91.7
238.8,12636,Robot_Arm,3.51,LOG-00269,39.4,0.8,4,Shift_2,75.1
244.7,12227,CNC_Milling,2.7,LOG-00270,55.9,5.75,8,Shift_1,66.0
266.6,6600,Robot_Arm,3.48,LOG-00271,61.8,1.45,8,Shift_3,83.2
288.3,1433,CNC_Milling,3.98,LOG-00272,62.8,3.57,6,Shift_3,91.2
241.0,3878,Conveyor_Belt,4.24,LOG-00273,82.1,6.85,10,Shift_1,71.8
216.0,19212,Robot_Arm,3.48,LOG-00274,94.9,4.2,9,Shift_2,100.9
222.7,8944,CNC_Milling,3.32,LOG-00275,74.2,6.76,2,Shift_2,81.6
201.7,10163,CNC_Milling,4.11,LOG-00276,57.0,7.25,4,Shift_2,96.3
42.3,9875,Robot_Arm,2.31,LOG-00277,83.2,0.1,2,Shift_3,102.7
216.9,15871,Robot_Arm,4.16,LOG-00278,56.2,0.1,10,Shift_1,68.7
257.8,2234,Conveyor_Belt,3.1,LOG-00279,30.0,6.91,7,Shift_3,89.9
242.3,2571,CNC_Milling,3.11,LOG-00280,46.3,7.01,8,Shift_1,103.1
264.7,6241,Robot_Arm,2.64,LOG-00281,30.0,4.64,4,Shift_2,80.5
250.6,10246,Robot_Arm,2.06,LOG-00282,59.2,4.98,4,Shift_2,104.5
218.7,13751,CNC_Milling,4.18,LOG-00283,62.3,6.23,4,Shift_3,94.9
243.5,10323,Robot_Arm,3.32,LOG-00284,41.1,6.19,2,Shift_2,81.7
249.8,9382,CNC_Milling,2.7,LOG-00285,52.2,3.24,6,Shift_1,84.6
189.8,18818,CNC_Milling,3.28,LOG-00286,43.6,6.39,7,Shift_2,69.2
282.9,4059,Robot_Arm,2.73,LOG-00287,63.1,3.13,9,Shift_1,78.2
238.4,11862,Conveyor_Belt,1.64,LOG-00288,52.2,4.61,9,Shift_1,91.7
237.2,11302,CNC_Milling,2.86,LOG-00289,80.1,4.5,5,Shift_2,82.3
247.8,9996,CNC_Milling,1.87,LOG-00290,67.5,1.85,5,Shift_2,88.5
213.3,16344,Robot_Arm,3.19,LOG-00291,89.1,2.14,2,Shift_2,96.6
123.6,6072,Conveyor_Belt,4.27,LOG-00292,58.2,9.59,11,Shift_1,96.2
4.4,19121,Robot_Arm,2.49,LOG-00293,97.2,1.77,3,Shift_2,88.9
263.5,7299,CNC_Milling,3.63,LOG-00294,65.0,4.92,7,Shift_3,79.4
247.7,11355,Robot_Arm,2.49,LOG-00295,57.1,5.45,7,Shift_3,86.8
241.6,10892,Robot_Arm,2.98,LOG-00296,101.1,3.86,10,Shift_2,87.4
214.2,17145,Robot_Arm,2.3,LOG-00297,37.6,5.68,3,Shift_1,78.6
